样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
110,5.997935,0.41749316,-0.14006446,-0.037866518,-0.081800126,0.11433157,0.102212824,0.36789772,0.7422042,6.740139,6.740138,9.536743e-07
111,5.997935,0.3060507,0.38528904,0.077307194,0.32205176,0.15994172,0.07470862,0.026661303,1.3520103,7.349945,7.349945,0.0
112,5.997935,-0.67690355,0.09682259,-0.23241945,0.14784579,0.15304862,0.21977971,-0.26137996,-0.5532062,5.444729,5.444729,0.0
113,5.997935,-0.6484383,-0.22290544,-0.08819242,0.02887903,0.21720327,0.20638241,0.23708874,-0.2699827,5.727952,5.727953,9.536743e-07
114,5.997935,0.050500426,-0.22518785,-0.06034873,0.109089,0.22166854,0.1269428,-0.11871089,0.10395329,6.101888,6.1018877,4.7683716e-07
115,5.997935,-0.7592551,-0.015146749,-0.36208063,0.21322858,0.24148475,-0.11217839,-0.45658538,-1.2505329,4.747402,4.7474003,1.9073486e-06
116,5.997935,0.6346344,-0.08080371,-0.06604111,0.12643915,0.32572687,-0.012151203,0.20025901,1.1280634,7.1259985,7.1260023,3.8146973e-06
117,5.997935,0.86196756,-0.070009604,-0.05454674,0.12525481,0.3256846,0.0030000547,0.31416142,1.5055121,7.503447,7.503449,1.9073486e-06
118,5.997935,-1.8667315,-0.44026512,-0.9148966,-0.39095747,-0.56340003,-1.2248882,-0.5792652,-5.980404,0.017530918,0.017529465,1.4528632e-06
119,5.997935,-1.258939,-0.60034543,-0.9703718,-0.4910094,-0.88039124,-1.0071201,-0.6719135,-5.8800907,0.117844105,0.11784477,6.631017e-07
120,5.997935,0.64787686,-0.102790415,0.04511711,0.094084114,0.12877294,0.118882164,0.0988954,1.0308383,7.0287733,7.028774,4.7683716e-07
121,5.997935,0.67024547,-0.09526285,0.07301426,0.09235263,0.13823682,0.14490408,0.18424973,1.2077402,7.205675,7.2056766,1.4305115e-06
122,5.997935,0.66363525,-0.16060995,0.03338945,0.09770823,0.12895563,0.00971143,-0.036150075,0.7366399,6.734575,6.7345753,4.7683716e-07
123,5.997935,0.13503827,-0.18338539,0.04351929,0.18317375,0.25159732,0.058948454,0.32374474,0.81263644,6.810571,6.8105717,4.7683716e-07
124,5.997935,0.66160345,-0.28763282,0.04700936,-0.08666685,0.18841267,0.024586884,0.2728865,0.8201992,6.818134,6.8181396,5.722046e-06
125,5.997935,0.12126149,-0.18143196,0.06263517,0.2983513,0.3062854,0.08437169,0.27716258,0.9686357,6.9665704,6.966571,4.7683716e-07
126,5.997935,0.66852236,-0.17990811,0.06426249,0.08739437,0.24409568,0.026699413,0.10282882,1.013895,7.01183,7.0118337,3.8146973e-06
127,5.997935,0.68258977,-0.18570994,0.064238004,0.09660174,0.2640283,-0.011730469,0.16152409,1.0715414,7.069476,7.069481,4.7683716e-06
128,5.997935,0.7965761,-0.2019866,0.01510171,-0.11161132,0.27002034,-0.11087378,0.22219206,0.87941855,6.877353,6.877358,4.7683716e-06
